epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,5451.9,2.003,1.37999,1.14975,0.48734,0.12108,0.12098,0.05143,2.58648,1.896,1.11847,0.000713,0.000713,0.000713
67,5522.77,1.98405,1.34861,1.14225,0.66196,0.13589,0.15011,0.06397,2.35562,1.55732,1.05767,0.0006932,0.0006932,0.0006932
68,5595.94,1.94741,1.34351,1.14303,0.53703,0.1385,0.1401,0.06169,2.27927,1.64914,1.07468,0.0006734,0.0006734,0.0006734
69,5668.88,1.9846,1.38176,1.14419,0.49575,0.13502,0.13511,0.06112,2.29929,1.65208,1.0516,0.0006536,0.0006536,0.0006536
70,5740.25,1.93802,1.31467,1.12791,0.47528,0.14202,0.13842,0.05761,2.39922,1.63015,1.06972,0.0006338,0.0006338,0.0006338
71,5811.45,1.9245,1.29161,1.12842,0.52771,0.12631,0.13513,0.05671,2.57214,1.68981,1.0922,0.000614,0.000614,0.000614
72,5883.47,1.93928,1.31032,1.12223,0.44773,0.12217,0.12142,0.05235,2.50996,1.70089,1.09767,0.0005942,0.0005942,0.0005942
73,5955.74,1.92743,1.28968,1.11741,0.5231,0.13589,0.14195,0.0631,2.35609,1.60151,1.07265,0.0005744,0.0005744,0.0005744
74,6027.14,1.91988,1.28483,1.12275,0.42697,0.11934,0.12887,0.05521,2.43193,1.77521,1.0975,0.0005546,0.0005546,0.0005546
75,6098.84,1.90596,1.246,1.11067,0.49017,0.12395,0.13368,0.05584,2.33679,1.68913,1.06973,0.0005348,0.0005348,0.0005348
76,6170.92,1.89623,1.2473,1.11855,0.59822,0.14547,0.15604,0.06883,2.2602,1.54516,1.04183,0.000515,0.000515,0.000515
77,6244.55,1.88081,1.23075,1.10602,0.55043,0.14547,0.1576,0.06951,2.36188,1.50755,1.03909,0.0004952,0.0004952,0.0004952
78,6318.15,1.88703,1.2192,1.11065,0.49434,0.14373,0.15112,0.06531,2.32422,1.59121,1.04005,0.0004754,0.0004754,0.0004754
79,6389.79,1.83514,1.18335,1.10322,0.54754,0.14969,0.15713,0.07216,2.24288,1.47203,1.03109,0.0004556,0.0004556,0.0004556
80,6463.84,1.88128,1.1915,1.09837,0.68354,0.14373,0.16197,0.07086,2.3454,1.50079,1.0349,0.0004358,0.0004358,0.0004358
81,6534.83,1.87177,1.20726,1.09098,0.63202,0.14895,0.16267,0.07048,2.25394,1.43786,1.04346,0.000416,0.000416,0.000416
82,6605.91,1.88126,1.18625,1.09774,0.72979,0.14351,0.16255,0.07052,2.28598,1.4716,1.02909,0.0003962,0.0003962,0.0003962
83,6677.04,1.82098,1.15296,1.09001,0.65789,0.14895,0.16852,0.07654,2.25097,1.38339,1.00955,0.0003764,0.0003764,0.0003764
84,6750.35,1.84742,1.16783,1.08963,0.631,0.15331,0.17351,0.07272,2.24476,1.41072,1.01871,0.0003566,0.0003566,0.0003566
85,6821.56,1.81996,1.16025,1.07462,0.4546,0.14634,0.15428,0.06886,2.17841,1.42652,1.00583,0.0003368,0.0003368,0.0003368
86,6892.72,1.80476,1.14514,1.08115,0.63554,0.12979,0.14811,0.06726,2.23879,1.44435,1.02237,0.000317,0.000317,0.000317
87,6963.76,1.81525,1.1386,1.0733,0.61504,0.15331,0.17121,0.0777,2.16235,1.35398,0.99661,0.0002972,0.0002972,0.0002972
88,7037.31,1.77965,1.12424,1.06651,0.53855,0.15854,0.17011,0.07584,2.1972,1.34701,1.00303,0.0002774,0.0002774,0.0002774
89,7108.89,1.77994,1.10436,1.06894,0.69169,0.1446,0.16453,0.07442,2.23697,1.33416,1.00043,0.0002576,0.0002576,0.0002576
90,7179.88,1.7854,1.10887,1.06147,0.73416,0.1446,0.17147,0.07671,2.15938,1.34091,1.0005,0.0002378,0.0002378,0.0002378
91,7280.21,1.78012,1.10016,1.08377,0.74754,0.15767,0.16172,0.07303,2.17035,1.41104,1.0048,0.000218,0.000218,0.000218
92,7351.48,1.78145,1.0766,1.08167,0.76276,0.14808,0.15233,0.0674,2.30022,1.53001,1.01289,0.0001982,0.0001982,0.0001982
93,7423.83,1.73626,1.06102,1.07436,0.78955,0.15418,0.17423,0.0804,2.15387,1.33787,0.98738,0.0001784,0.0001784,0.0001784
94,7497.88,1.73144,1.03462,1.06795,0.8051,0.1507,0.1741,0.07958,2.13031,1.31432,0.98582,0.0001586,0.0001586,0.0001586
95,7569.93,1.7504,1.03978,1.07675,0.81413,0.15941,0.17903,0.08254,2.14698,1.32644,0.9769,0.0001388,0.0001388,0.0001388
96,7645.21,1.74188,1.03599,1.06837,0.84186,0.17369,0.1805,0.08193,2.15878,1.31819,0.9818,0.000119,0.000119,0.000119
97,7717.79,1.71033,1.02387,1.06478,0.8988,0.17073,0.18313,0.08679,2.10253,1.26242,0.97519,9.92e-05,9.92e-05,9.92e-05
98,7791.74,1.69438,1.00189,1.06375,0.91716,0.17073,0.18513,0.08737,2.11545,1.28461,0.96919,7.94e-05,7.94e-05,7.94e-05
99,7866.24,1.70344,1.00627,1.05643,0.92432,0.16945,0.18261,0.0851,2.11667,1.28075,0.97236,5.96e-05,5.96e-05,5.96e-05
100,7938.54,1.68553,0.99917,1.04719,0.9385,0.17596,0.18211,0.08669,2.09146,1.2741,0.96851,3.98e-05,3.98e-05,3.98e-05
